,Unnamed: 0,Unnamed: 0.1,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id,Unnamed: 0.1.1
281,69,2723,0.0088489859325256,5.816942748481947,-5100.342987691493,4399.931838725241,919.7807174065998,0.0657398525045488,5.8553359220310535,0.0001764772037537,0.0209495653642948,44.405902440555,5.855781189962076,45927.30684262375,71,
282,70,2733,0.0083615187857002,5.806517942518649,-5099.503501521991,4399.94271059047,922.6751546991702,0.0655704293548651,5.851091778513365,0.0002270165556619,0.0167054218466065,43.52164606025443,5.8451203879717495,66111.84075835081,71,
283,71,2741,0.0085907164197812,5.865417788656159,-5099.593261114665,4399.93835345588,917.37675523759,0.0647959748352135,5.836129817903654,7.72829373961914e-05,0.0017434612368951,44.60495539571943,5.841709659715089,56791.77497893455,71,
284,72,2754,0.0077418279572242,5.780515298532559,-5100.09935148872,4399.950155899903,927.901840423347,0.0662785550609586,5.817312059803253,9.459307741520312e-05,-0.0170742968635053,42.33900103020833,5.798526905879694,88390.06536920184,71,
285,73,2791,0.0086046327472504,5.848874239954623,-5099.523560288725,4399.9366200249015,919.1716620349996,0.0650962613323712,5.831055802314602,-3.944154201692578e-05,-0.0033305543521562,44.279970290414376,5.834685724540944,53506.31900778193,71,
286,74,2877,0.008311867889725,5.789908699074236,-5100.237500518027,4399.941075337829,924.7627176387136,0.0659404077029414,5.800685379285706,-0.0003047978717796,-0.033700977381053,43.19090882249965,5.785267462188709,62332.8525033554,71,
287,75,2971,0.0084236725072314,5.8679340029216895,-5099.511534093718,4399.935520060267,922.4086915571432,0.0657870321747461,5.8668952518334985,0.0005382133308454,0.0325088951667398,43.62744791233728,5.878155909184075,51609.214558588,71,
288,76,2987,0.0086783804968543,5.845619032166535,-5100.144084652776,4399.935675141678,919.4905370419912,0.0654215877565224,5.863331508646026,0.0004479489407577,0.0289451519792676,44.21981047016622,5.868654113916843,51870.67865327711,71,
289,77,3001,0.0080349307222815,5.840052198345557,-5100.253861388259,4399.945079169615,924.4197955956698,0.0659098175343772,5.835841248830149,-0.0002234159392621,0.0014548921633901,43.01128944500687,5.84194298372338,72208.26253690249,71,
290,78,3013,0.0082435306213976,5.826892682774076,-5099.557348060695,4399.9410124643,923.163356325866,0.0658107794282351,5.838140229440959,2.3624405824700697e-05,0.0037538727742001,43.38411276631732,5.836822024335274,62193.919660767606,71,
291,79,3105,0.0082594556396627,5.765823538641126,-5100.317499800345,4399.941478114411,925.0028497504844,0.0662804339775165,5.838168421783465,-0.0001120319974634,0.0037820651167059,43.172014963192666,5.827853012799409,63233.738849978334,71,
292,80,3216,0.0079657174212517,5.8617341584953575,-5100.097533134694,4399.948790710095,922.2299129925268,0.0657996428221795,5.831891448907784,2.747109691702656e-05,-0.002494907758975,43.47461672924511,5.8389705412928965,83553.26927870931,71,
293,81,3217,0.008420862646212,5.87665798639985,-5100.195687392538,4399.939265254212,923.9487259877396,0.0658753725433374,5.851392635668938,0.0001637114063383,0.0170062790021789,43.31883931767241,5.868872515088047,58507.3243052236,71,
294,82,3221,0.0079866516613599,5.823408512610292,-5100.254090061613,4399.944352611585,930.6510897944604,0.0667113572887492,5.832083409599028,7.509615663516773e-05,-0.0023029470677311,41.92726064901601,5.831999384079412,70253.58753516714,71,
295,83,3249,0.0082377677381019,5.848204599265925,-5099.727372315388,4399.941437623055,920.5083653909132,0.0656320418982575,5.861094904738274,0.0004512536765533,0.0267085480715154,43.86528528594175,5.861968608802145,63142.31424382172,71,
296,84,3262,0.0081306580316747,5.782490523141162,-5099.901455612107,4399.944115335262,922.5798632127984,0.0656238828971798,5.816461425500404,-0.0002212339852707,-0.0179249311663545,43.35176795411959,5.801895651136952,69632.0065228129,71,
297,85,3270,0.0087055995597265,5.896947280156591,-5100.333106825391,4399.9346313837,919.3352961990488,0.0653108756991212,5.826013118210837,-0.0002703735857124,-0.0083732384559214,44.26546381514542,5.8364712010904185,50147.377790346975,71,
298,86,3282,0.0084143540388441,5.834318040921692,-5099.959557350816,4399.939573081152,917.6231644955224,0.0650844190436347,5.865055956152289,0.0004600113909149,0.0306695994855301,44.53120166525066,5.868796564075378,59133.23957242798,71,
299,87,3324,0.0083393871137362,5.8469111744624165,-5099.893798441457,4399.9412315399495,929.027253810532,0.0665705176435858,5.8085449324501,-0.0001705025301143,-0.0258414242166589,42.32852055154417,5.798613898411383,62679.98615560021,71,
300,88,3338,0.0085644554363399,5.865875793677818,-5099.725071765399,4399.9367095745465,922.4412664729248,0.0655407453491235,5.872717796987071,0.0004059515983892,0.0383314403203121,43.7062224693648,5.885322489909029,53665.22616849336,71,
