tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0204345,0.592133,4399.64,-3875.58,84.0314,766.303,0.0418621,0.74955,0.0043803
0.0205306,0.577405,4399.64,-3875.55,84.6384,768.035,0.0420508,0.71209,0.00367089
0.0202322,0.60042,4399.65,-3875.56,83.7355,766.729,0.0424151,0.750065,0.00465617
0.0205714,0.575669,4399.63,-3875.4,84.8476,768.729,0.042183,0.695506,0.00363728
0.0206637,0.600174,4399.63,-3875.58,85.6419,765.17,0.0418499,0.734222,0.00399967
0.0204216,0.58685,4399.64,-3875.44,84.341,768.392,0.0427059,0.716167,0.00341943
0.0204464,0.570464,4399.64,-3875.38,83.5772,770.731,0.04267,0.690646,0.00367351
0.0206618,0.597931,4399.63,-3875.5,85.2528,765.727,0.0422291,0.734944,0.00379028
0.0204451,0.58551,4399.64,-3875.63,84.6894,766.29,0.0422839,0.735642,0.00386372
0.02069,0.607614,4399.63,-3875.4,85.187,764.781,0.0422853,0.753437,0.00445071
0.0203125,0.602241,4399.64,-3875.45,83.8531,766.727,0.0422214,0.744831,0.00450627
0.0201808,0.575965,4399.65,-3875.51,83.3587,770.847,0.0426617,0.694265,0.00350637
0.0205821,0.612852,4399.63,-3875.52,84.6838,764.224,0.0418643,0.766619,0.00453933
0.0207664,0.601901,4399.62,-3875.44,85.6048,764.47,0.0419027,0.744317,0.00437681
0.0209706,0.593984,4399.62,-3875.57,85.7945,764.786,0.0421398,0.746218,0.00474964
0.0203682,0.605838,4399.64,-3875.58,84.2364,765.277,0.041954,0.758038,0.00451886
0.0204708,0.576446,4399.64,-3875.51,84.2728,769.681,0.0424551,0.688539,0.00334061
0.0201701,0.581292,4399.64,-3875.46,83.106,770.096,0.0425492,0.712544,0.00368464
0.0207608,0.594349,4399.63,-3875.54,85.6396,765.933,0.0416664,0.720022,0.00365519
0.0201701,0.598391,4399.65,-3875.44,83.1651,767.773,0.0425931,0.7451,0.00499142
0.020419,0.58161,4399.64,-3875.4,84.117,769.148,0.0426666,0.708179,0.00364577
0.0202786,0.589505,4399.64,-3875.53,83.6151,767.763,0.0418347,0.728656,0.00433611
0.0206265,0.576234,4399.63,-3875.49,85.0073,768.487,0.0424147,0.699728,0.00362548
0.0207284,0.594061,4399.63,-3875.59,85.7145,764.331,0.0413227,0.738042,0.00433386
0.0204969,0.592703,4399.63,-3875.47,84.6123,767.005,0.0424071,0.729744,0.00387595
0.02058,0.581248,4399.63,-3875.41,84.9216,768.793,0.0426187,0.697788,0.00326015
0.0206627,0.601734,4399.63,-3875.48,85.1709,764.929,0.0423516,0.749613,0.00480722
0.0202033,0.581667,4308.17,-3875.55,83.2796,773.693,0.0433342,0.709944,0.00360743
0.020235,0.577031,4399.58,-3875.4,83.4991,769.623,0.0425298,0.711607,0.00373415
0.0205725,0.591363,4399.63,-3875.42,84.953,766.632,0.0424696,0.731082,0.00411861
0.0202052,0.578411,4399.65,-3875.4,83.2051,770.96,0.043084,0.700951,0.00359259
0.0206292,0.591012,4399.63,-3875.55,85.3281,765.336,0.0419376,0.737078,0.00444225
0.0201763,0.582927,4399.65,-3875.4,83.3244,770.012,0.0428793,0.711769,0.00377719
0.0203649,0.579715,4399.64,-3875.53,84.2904,767.665,0.0419025,0.720269,0.0042698
0.0205835,0.592788,4399.63,-3875.59,84.9459,765.926,0.0420158,0.737185,0.00429616
0.0205754,0.588393,4399.63,-3875.51,85.0321,766.199,0.0427186,0.738585,0.00396895
0.0203101,0.579634,4399.64,-3875.48,83.3149,770.64,0.0429944,0.70735,0.00291261
0.0207523,0.598107,4399.63,-3875.46,85.3789,763.79,0.0414672,0.753872,0.00457111
0.0202994,0.603702,4399.65,-3875.43,83.7469,766.291,0.0420091,0.750845,0.00426871
0.0206305,0.584859,4399.63,-3875.51,84.9303,767.438,0.0420726,0.714731,0.00393063
0.0201345,0.591154,4399.65,-3875.48,83.2304,769.361,0.0429439,0.725967,0.00389722
0.0205639,0.590458,4399.63,-3875.44,85.0923,766.298,0.0419289,0.726478,0.00405501
0.0202146,0.590529,4399.64,-3875.51,83.7419,768.226,0.0424543,0.728906,0.0043847
0.0207321,0.603174,4399.63,-3875.48,85.3514,764.808,0.0419364,0.743512,0.00429525
0.0202202,0.572154,4399.65,-3875.62,83.9425,770.325,0.0430048,0.692028,0.00332499
0.0205273,0.56846,4399.63,-3875.46,84.2665,769.983,0.0426595,0.687244,0.00352527
0.0205072,0.597294,4399.64,-3875.52,84.4886,766.913,0.0421255,0.730273,0.00421663
0.0203854,0.581761,4399.64,-3875.49,84.259,768.808,0.0428831,0.714706,0.00372456
0.0200944,0.57109,4399.65,-3875.6,83.4933,770.6,0.0428958,0.698079,0.00362777
0.0204961,0.573062,4399.64,-3875.53,84.6354,769.207,0.0422401,0.692402,0.00343491
0.0205305,0.588566,4399.64,-3875.6,84.7203,766.845,0.0423867,0.730491,0.00411499
0.0203774,0.567455,4399.64,-3875.58,84.1899,770.634,0.0427986,0.673875,0.00338946
0.0206828,0.581721,4399.63,-3875.56,85.3824,767.828,0.0422196,0.700583,0.00353355
0.0208527,0.59599,4399.62,-3875.44,85.757,764.833,0.0419289,0.73733,0.00401907
0.0201647,0.58022,4399.64,-3875.39,83.3067,769.581,0.0427543,0.718049,0.00366211
0.0202977,0.581467,4399.64,-3875.39,83.8453,769.603,0.0426195,0.706896,0.0034444
0.0202054,0.589359,4399.65,-3875.55,83.2447,767.996,0.0422629,0.738221,0.00386919
0.0203304,0.599158,4399.64,-3875.42,83.9875,766.99,0.0423532,0.740846,0.00399667
0.0203823,0.601192,4399.64,-3875.6,83.8464,767.894,0.0429498,0.735149,0.00409124
0.0204663,0.575801,4399.64,-3875.5,85.1001,767.367,0.0418261,0.709287,0.00347063
0.0201797,0.606116,4399.65,-3875.49,83.683,766.787,0.0426252,0.752776,0.00431519
0.0204179,0.589059,4399.64,-3875.5,84.8497,767.066,0.0417626,0.717202,0.0039499
0.0203603,0.589738,4399.64,-3875.44,84.0245,767.79,0.0424723,0.727864,0.00363507
0.0203838,0.590701,4399.64,-3875.48,84.4113,767.967,0.0426169,0.723194,0.00394271
0.0204331,0.588389,4399.64,-3875.41,84.2531,768.257,0.0423299,0.717661,0.00364318
0.0202558,0.590935,4399.64,-3875.51,83.5535,769.197,0.0425119,0.71856,0.0037862
0.020415,0.594811,4399.64,-3875.53,84.0475,767.334,0.0423301,0.733226,0.00429671
