,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
5052,0.0138213,-2.13271,6599.62,-3875.5,54.9768,751.965,0.0482233,4.21593,0.00214773,0.176744
5053,0.0136751,-2.10457,6599.64,-3875.5,54.4962,755.365,0.0489912,4.2451,0.00230777,0.205908
5054,0.013779,-2.10839,6599.63,-3875.5,55.3983,752.316,0.0486135,4.23688,0.00261387,0.19769
5055,0.0139412,-2.11692,6599.62,-3875.5,55.4481,753.038,0.0483425,4.25298,0.00267808,0.213793
5056,0.0136626,-2.08918,6599.64,-3875.5,54.126,757.525,0.048766,4.27544,0.00281393,0.236252
5057,0.0132263,-2.11558,6599.66,-3875.5,52.4384,760.178,0.0498615,4.22907,0.00200106,0.189877
5058,0.013258,-2.11672,6599.66,-3875.5,52.9388,758.946,0.0493106,4.23601,0.00218355,0.196824
5059,0.0137427,-2.10144,6599.63,-3875.5,54.4748,756.222,0.0488325,4.26389,0.00250223,0.224702
5060,0.0137722,-2.08163,6599.63,-3875.5,54.6846,756.932,0.0486927,4.29238,0.0029824,0.253192
5061,0.0134229,-2.10756,6599.65,-3875.5,53.4865,758.056,0.049259,4.24596,0.00229135,0.206773
5062,0.0135303,-2.12252,6599.64,-3875.5,53.8928,755.068,0.048832,4.21765,0.00186872,0.178455
5063,0.0132762,-2.1221,6599.66,-3875.5,53.4082,756.88,0.0492043,4.22319,0.0020814,0.184002
5064,0.0137293,-2.11214,6599.63,-3875.5,54.5889,755.473,0.0488328,4.25339,0.00231577,0.2142
5065,0.0139488,-2.10911,6599.62,-3875.5,55.5145,752.628,0.048295,4.25068,0.00216892,0.211493
5066,0.0133498,-2.12414,6599.65,-3875.5,53.4173,757.406,0.0491597,4.23257,0.00182482,0.193376
5067,0.0139055,-2.09463,6599.62,-3875.5,55.4896,754.123,0.0483557,4.28277,0.00278466,0.243583
5068,0.0137094,-2.07746,6599.64,-3875.5,54.5935,757.696,0.0490401,4.29604,0.00268849,0.256854
5069,0.0137468,-2.09191,6599.63,-3875.5,54.8625,756.026,0.0488518,4.28024,0.00264341,0.241049
5070,0.0139361,-2.11912,6599.62,-3875.5,55.2736,752.123,0.0483934,4.22696,0.00221513,0.187773
5071,0.01355,-2.07395,6599.64,-3875.5,53.9291,760.063,0.0490585,4.30489,0.00304299,0.265696
5072,0.0135473,-2.05946,6599.65,-3875.5,53.7951,761.13,0.0492432,4.31348,0.00307332,0.274288
5073,0.0139021,-2.08541,6599.62,-3875.5,55.4972,754.718,0.0486012,4.2908,0.00314656,0.251612
5074,0.0135841,-2.15346,6599.64,-3875.5,53.8107,753.993,0.0488482,4.19186,0.00158848,0.152674
5075,0.0139378,-2.07815,6599.62,-3875.5,55.2274,755.736,0.0484639,4.2986,0.00294756,0.259408
5076,0.0132629,-2.083,6599.66,-3875.5,52.9466,761.246,0.0495364,4.2782,0.00271018,0.23901
5077,0.0136769,-2.09054,6599.64,-3875.5,54.55,756.457,0.0486937,4.27701,0.00253579,0.23782
5078,0.0137019,-2.10572,6599.63,-3875.5,54.7087,755.606,0.0487496,4.26253,0.00237742,0.223342
5079,0.0132641,-2.08331,6599.65,-3875.5,52.79,761.585,0.0498354,4.27335,0.00276635,0.234162
5080,0.0136949,-2.09087,6599.63,-3875.5,55.3944,753.979,0.0483533,4.27522,0.00280845,0.236032
5081,0.0135505,-2.10755,6599.64,-3875.5,54.2199,755.887,0.0490303,4.24343,0.00250713,0.204239
5082,0.0131759,-2.08201,6599.66,-3875.5,52.8214,761.416,0.0497084,4.27212,0.00244465,0.232932
5083,0.0132688,-2.08599,6599.65,-3875.5,52.7568,761.336,0.0497895,4.26886,0.00246263,0.229665
5084,0.013849,-2.07737,6599.62,-3875.5,54.9039,756.832,0.0487412,4.2979,0.00304683,0.258706
5085,0.0135247,-2.11595,6599.64,-3875.5,53.9768,756.07,0.0491898,4.23215,0.00199175,0.19296
5086,0.0135455,-2.09012,6599.65,-3875.5,53.874,758.857,0.0489352,4.28666,0.00291729,0.24747
5087,0.0133743,-2.12437,6599.65,-3875.5,53.1853,756.668,0.0490088,4.21308,0.00169355,0.17389
5088,0.0131571,-2.11732,6599.66,-3875.5,52.5289,759.126,0.0496461,4.21847,0.00169199,0.179281
